Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
Aboriginal and Torres Strait Islander PhD Scholarships,AQ Aboriginal & Torres Strait Islander PhD Scholarships 2018-19 Round 4,Central Queensland University,Norman Gardens,4701,, BHP Billiton,Decolonising the systematic barriers and enablers of Indigenous career progression in MiningCo (BHP). An Aboriginal perspective - Terry Bell,Brisbane City,4001,,14/06/2019,Rockhampton (R),Brisbane and Redlands,Keppel,107084
Aboriginal and Torres Strait Islander PhD Scholarships,AQ Aboriginal & Torres Strait Islander PhD Scholarships 2015-16 Round 1,Griffith University,Nathan,4111,,,An indigenous journey through the 21st century educational landscapes of new metrics - Troy Meston,Nathan,4111,n/a,28/01/2016,Brisbane (C),Brisbane and Redlands,Toohey,117500
Aboriginal and Torres Strait Islander Research Fellowships,AQ Aboriginal & Torres Strait Islander Research Fellowships 2017-18 Round 3,Queensland University of Technology,Brisbane City,4000,, Engineered Wood Products Association Australasia Ltd,An Innovative Framing System for Taller Timber-Framed Buildings – Craig Cowled,Brisbane City,4000,n/a,21/08/2018,Brisbane (C),Brisbane and Redlands,McConnel,240000
Aboriginal and Torres Strait Islander Research Fellowships,AQ Aboriginal & Torres Strait Islander Research Fellowships 2015-16 Round 1,CSIRO,Smithfield,4878,, CSIRO,Transforming hidden data: An integrative information system for Torres Strait - Cass Hunter,Smithfield,4878,n/a,28/01/2016,Cairns (R),Far North Queensland,Barron River,158032
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Redland City Council,Cleveland,4163,," Community Information Support Services Ltd 
 Logan City Council 
 Redland City Chamber Of Commerce Inc 
 Global Community Resourcing Pty Ltd 
 Social Enterprise Network Logan Limited 
 TAFE Queensland Brisbane 
 Griffith University - Logan Campus - Master 
 YFS Ltd",Growing innovation in the Redlands and Logan region,Cleveland,4163,"Meadowbrook, Alexandra Hills, Springwood",21/09/2017,Redland (C),Brisbane and Redlands,Oodgeroo,500000
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2020-21,Tablelands Regional Council,Atherton,4883,," Natural Evolution Pty Ltd 
 Farmer Meets Foodie 
 James Cook University (JCU) 
 AusIndustry 
 iiHub Ltd 
 Rural And Remote Innovation Australia (RRIA) Inc 
 Telstra Corporation Limited 
 YEP Entrepreneurship Facilitators Cairns",Tablelands Innovation Program,Atherton,4883,,11/11/2020,Tablelands (R),Far North Queensland,Hill,45000
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Sunshine Coast Regional Council,Maroochydore,4558,," Noosa Shire Council 
 University of the Sunshine Coast 
 Central Queensland University - Noosa Campus Master 
 Regional Development Australia Sunshine Coast Incorporated 
 Suncentral Maroochydore Pty Ltd 
 The Old Ambulance Station (Sunshine Coast Arts Industry Precinct Inc.) 
 Innovate Noosa Inc. 
 BDO Australia Limited 
 Suncare Community Services Ltd 
 Stockland Corporation Ltd 
 Australia And New Zealand Banking Group Limited t/a ANZ 
 Telstra Corporation Limited 
 Innovation Centre Sunshine Coast Pty Ltd",Sunshine Coast Regional Innovation Program #SCRIPT,Maroochydore,4558,"Sippy Downs, Nambour, Tewantin",2/06/2017,Sunshine Coast (R),Sunshine Coast,Maroochydore,500000
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2020-21,Smart Precinct NQ Limited,Townsville City,4810,,,"North Queensland Investment, Innovation & Industry Catalyst",Townsville City,4810,,2/07/2020,Townsville (C),Townsville,Townsville,500000
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Staged 2016-17,Wide Bay Burnett Regional Organisation of Councils Inc.,Gympie,4570,," University of the Sunshine Coast 
 The Generator Bundaberg Pty Ltd 
 Mt Rawdon Operations Pty Ltd 
 Red Earth Community Foundation South Burnett Limited 
 Berwin Ltd",Develop a Collaborative Action Plan and advise on the submission of a subsequent full application for the Wide Bay Burnett region ((LINKED TO AQARIPFULL00216-17),Gympie,4570,,19/01/2017,Gympie (R),Wide Bay,Gympie,20000
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Wide Bay Burnett Regional Organisation of Councils Inc.,Gympie,4570,," University of the Sunshine Coast 
 Fraser Coast Regional Council 
 Bundaberg Regional Council 
 The Generator Bundaberg Pty Ltd 
 Community Lifestyle Support Ltd 
 Gympie Regional Council 
 Gympie Chamber Of Commerce Inc 
 Ag & Industry Pty Ltd trading as Kandanga Farm Store 
 Gympie & District Home For The Aged Inc trading as Cooinda Aged Care Centre 
 Mary Valley Chamber of Commerce Inc. 
 South Burnett Regional Council 
 Kingaroy Chamber Of Commerce & Industry Inc 
 P.J Howlett & R.J Howlett 
 BGA Agriservices Ltd 
 Peanut Company Of Australia Limited 
 Burnett Water Services 
 North Burnett Regional Council 
 Burnett Inland Economic Development Organisation Inc 
 University Of Southern Queensland 
 AGL Energy Limited 
 Berwin Ltd 
 Central Queensland University - Bundaberg Campus - Master 
 Bundaberg Enterprise Centre Association Inc",Delivering Innovation in the Wide Bay Burnett Region (LINKED TO AQARIPSTAGED00116-17),Gympie,4570,"Gayndah, Kingaroy",17/07/2017,Gympie (R),Wide Bay,Gympie,478330
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Staged 2016-17,Greater Whitsunday Alliance Limited,Mackay,4740,," Central Queensland University - Rockhampton Campus - Master 
 Mackay Regional Council 
 Resource Industry Network Co-op Ltd 
 Regional Development Australia Mackay-Isaac -Whitsunday Inc. 
 Startup Mackay Inc 
 Split Spaces Ltd",Develop a Collaborative Action and advise on the submission of a subsequent full application for the Mackay-Isaac-Whitsunday region (LINKED TO AQARIPFULL00316-17),Mackay,4740,,24/02/2017,Mackay (R),Mackay-Whitsunday,Mackay,20000
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Toowoomba and Surat Basin Enterprise Pty Ltd,Toowoomba,4350,," Toowoomba Regional Council 
 Maranoa Regional Council 
 Balonne Shire Council 
 Regional Development Australia Darling Downs and South West Inc 
 University Of Southern Queensland 
 Western Downs Regional Council 
 Darling Downs Hospital and Health Service",Regional 400M,Toowoomba City,4350,"St George, Dalby, Goondiwindi",5/09/2017,Toowoomba (R),Darling Downs,Toowoomba North,500000
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Moreton Bay Region Industry and Tourism Limited,Kippa-Ring,4021,," University of the Sunshine Coast 
 Samford Commons Ltd 
 Grace Lutheran College 
 SRJ Walker Wayland Pty Ltd 
 SBIM 
 The Hills & Districts Chamber of Commerce 
 Regional Development Australia Moreton Bay Inc 
 Coastal Protection Core 
 Streten Masons Lawyers",Moreton Bay Region Sustainable Innovation Partnership program,Kippa-Ring,4021,"Samford Valley, Narangba",20/08/2017,Moreton Bay (R),Moreton Bay,Redcliffe,499980
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Gold Coast Innovation Hub Limited,Varsity Lakes,4227,," Opmantek Software Pty Ltd 
 Mclaughlins Lawyers Pty Ltd 
 Scale Innovations Pty Ltd 
 42 Innovations Pty Ltd 
 IT Forum Gold Coast Inc 
 Gold Coast City Council 
 Prime Financial 
 Sports Gold Coast Limited 
 Gold Coast Techspace Inc 
 TAFE Queensland",Gold Coast Hub,Varsity Lakes,4227,"Coomera, Tweed Heads",27/07/2017,Gold Coast (C),Gold Coast,Mermaid Beach,500000
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Greater Whitsunday Alliance Limited,Mackay,4740,," Central Queensland University - Mackay Campus 
 Mackay Regional Council 
 Resource Industry Network 
 Mackay Innovation Centre 
 Whitsunday Regional Council 
 Isaac Regional Council 
 Regional Development Australia Mackay-Isaac -Whitsunday Inc. 
 Startup Mackay Inc 
 Split Spaces Ltd",Growing the Innovation Ecosystem in the Greater Whitsunday Region (LINKED TO AQARIPSTAGED00216-17),Mackay,4740,"Bowen, Moranbah",11/08/2017,Mackay (R),Mackay-Whitsunday,Mackay,480000
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,GHD Pty Ltd,Townsville,4810,," Townsville City Council 
 Palm Island Aboriginal Shire Council 
 Charters Towers Regional Council 
 Townsville Chamber of Commerce 
 Burdekin Shire Council",I-TAP North Queensland,Townsville City,4810,"Charters Towers, Ayr, Ingham",26/09/2017,Townsville (C),Townsville,Townsville,74000
