_id,Site,SiteNumber,Seconds,DateTime,Latitude,Longitude,Hsig,Hmax,Tp,Tz,SST,Direction,Current Speed,Current Direction
1,Caloundra,54,1687442400,2023-06-23T00:00:00,-26.84714,153.15469,0.47,0.87,7.69,5.479,20.45,106.9,-99.9,-99.9
2,Caloundra,54,1687444200,2023-06-23T00:30:00,-26.84713,153.15471,0.47,0.76,9.09,5.128,20.45,111.1,-99.9,-99.9
3,Caloundra,54,1687446000,2023-06-23T01:00:00,-26.84711,153.15469,0.458,0.93,10.53,5.063,20.4,99.8,-99.9,-99.9
4,Caloundra,54,1687447800,2023-06-23T01:30:00,-26.84712,153.15476,0.49,1.01,10,5,20.4,99.8,-99.9,-99.9
5,Caloundra,54,1687449600,2023-06-23T02:00:00,-26.84702,153.15482,0.48,0.95,7.69,4.878,20.35,106.9,-99.9,-99.9
6,Caloundra,54,1687451400,2023-06-23T02:30:00,-26.8468,153.15489,0.499,0.87,6.25,4.545,20.4,94.2,-99.9,-99.9
7,Caloundra,54,1687453200,2023-06-23T03:00:00,-26.84667,153.15491,0.515,0.95,10.53,4.396,20.35,98.4,-99.9,-99.9
8,Caloundra,54,1687455000,2023-06-23T03:30:00,-26.84638,153.15497,0.522,0.82,9.09,4.545,20.4,97,-99.9,-99.9
9,Caloundra,54,1687456800,2023-06-23T04:00:00,-26.84631,153.15501,0.552,0.91,6.67,4.651,20.35,99.8,-99.9,-99.9
10,Caloundra,54,1687458600,2023-06-23T04:30:00,-26.84629,153.15501,0.553,1.07,10,4.598,20.35,97,-99.9,-99.9
11,Caloundra,54,1687460400,2023-06-23T05:00:00,-26.84628,153.15504,0.564,0.87,9.09,4.598,20.4,105.5,-99.9,-99.9
12,Caloundra,54,1687462200,2023-06-23T05:30:00,-26.84629,153.15508,0.575,1.05,3.57,4.301,20.4,25.3,-99.9,-99.9
13,Caloundra,54,1687464000,2023-06-23T06:00:00,-26.84628,153.15506,0.546,1.01,10,4.167,20.35,83,-99.9,-99.9
14,Caloundra,54,1687465800,2023-06-23T06:30:00,-26.84629,153.15504,0.574,1.02,7.69,4.167,20.35,104.1,-99.9,-99.9
15,Caloundra,54,1687467600,2023-06-23T07:00:00,-26.84631,153.15501,0.579,0.94,8.33,4.255,20.3,102.7,-99.9,-99.9
16,Caloundra,54,1687469400,2023-06-23T07:30:00,-26.84632,153.15499,0.563,0.9,4,4.301,20.3,30.9,-99.9,-99.9
17,Caloundra,54,1687471200,2023-06-23T08:00:00,-26.84632,153.15495,0.543,0.91,10,4.301,20.3,104.1,-99.9,-99.9
18,Caloundra,54,1687473000,2023-06-23T08:30:00,-26.84636,153.15489,0.544,0.88,10.53,4,20.3,98.4,-99.9,-99.9
19,Caloundra,54,1687474800,2023-06-23T09:00:00,-26.84644,153.15482,0.537,1.03,10,4.167,20.25,95.6,-99.9,-99.9
